20251111	23:04:33	10074c48-760c-4062-b3a9-128217f51dd4	log event emitted
20251114	08:32:08	2035e6e6-5552-45b9-adc3-f36ce8591245	/new-page.html	GET
20251114	08:32:08	9c6f7e80-ccef-48d3-953a-affa4ddaf4f3	/css/style.css	GET
20251114	08:32:08	76a7d9b9-316a-40fc-bd1a-73c905f58274	/img/img1.jpg	GET
20251114	08:32:08	c085aaad-7c75-4848-a23e-f7c80376b708	/favicon.ico	GET
20251202	10:14:54	77f3d1d1-30cc-4730-941d-dfddd47e0afb	GET	undefined	/subdir/test
20251202	10:14:54	3b77140d-9fc4-4185-942d-13a9511df3a7	GET	undefined	/subdir/css/style.css
20251202	10:14:54	22825ed0-4b4f-4d44-b1a2-252d5b8ba561	GET	undefined	/favicon.ico
20251202	10:14:57	35e4524b-40fd-4882-a2fe-2687aced9b54	GET	undefined	/subdir
20251202	10:15:59	99bcf8d1-2def-4b72-8620-e3c131d522cc	GET	undefined	/subdir/test
20251202	10:16:41	6d4460b0-8728-49a3-beb4-e321ae0b8ab4	GET	undefined	/subdir/index
20251202	10:16:41	65b5a36f-76d2-4abd-b6b9-d020b067e4c0	GET	undefined	/favicon.ico
20251202	10:17:48	dfc61d95-14c5-40a7-8bd8-745ce5210088	GET	undefined	/subdir/test
20251202	10:17:48	9c756c2e-ff6b-404d-9507-29770a515c06	GET	undefined	/favicon.ico
20251202	10:20:27	3cfee60e-5ef3-4506-b7ca-97c70120bb18	GET	undefined	/subdir/testt
20251202	10:20:27	17e38b96-e918-4a0f-adc5-d807a5254d93	GET	undefined	/subdir/css/style.css
20251202	10:20:27	bfc13e60-52da-49e0-b3fa-27ec71763d2a	GET	undefined	/favicon.ico
20251202	10:20:41	c1632b83-c90d-4d46-bf49-901c195d0406	GET	undefined	/subdir/testt
20251202	10:20:41	34155eef-4924-442f-a8d0-0cf7e2aa8fde	GET	undefined	/subdir/css/style.css
20251202	10:20:41	1487ccd1-f1ef-43fb-92d0-a2d1fb6fe720	GET	undefined	/favicon.ico
20251202	10:20:45	eab5498f-edf3-4eb8-945e-5220fd55a8cd	GET	undefined	/subdir/testt
20251202	10:20:46	f58c1a01-cdfb-4acf-9959-53e96c00bc77	GET	undefined	/subdir/css/style.css
20251202	10:20:46	73ac0868-047c-4d48-a1d7-b528568c448f	GET	undefined	/favicon.ico
20251202	10:20:47	49b43ab0-4045-414f-a645-c3d331958711	GET	undefined	/subdir/testt
20251202	10:20:47	d2dbf1cf-16b3-446a-b723-5a601ec4e095	GET	undefined	/subdir/css/style.css
20251202	10:20:47	9abc10e4-ba4d-482a-8d1e-e94b2a52e1ec	GET	undefined	/favicon.ico
20251202	10:20:59	cfca8507-4752-41b9-a9ea-0b8f2f49f4b8	GET	undefined	/subdir/testt
20251202	10:20:59	a4868782-1fe0-4162-a98b-ef5c24ddc78d	GET	undefined	/subdir/css/style.css
20251202	10:21:05	298d969b-9d8f-477b-b31a-452b0594521c	GET	undefined	/subdir/testt
20251202	10:21:05	03c8f9f7-ea4b-4a6f-8403-7ffff7e5fd34	GET	undefined	/subdir/css/style.css
20251202	10:21:05	48f71812-5db0-4efb-b24e-33d412c1cb32	GET	undefined	/favicon.ico
20251202	10:21:07	9532d6ba-dc38-4ffa-ac19-fde481a5a374	GET	undefined	/subdir/test
20251202	10:21:07	4822e95a-0ce2-471f-9932-4365192c47ed	GET	undefined	/favicon.ico
20251202	10:21:11	deb701c7-a4eb-4e26-89bd-d508f78366d2	GET	undefined	/subdir/testfds
20251202	10:21:11	bda54196-f3ac-452f-b8f6-7379334733bd	GET	undefined	/subdir/css/style.css
20251202	10:21:38	aca50bf4-d4a8-4156-99ab-f827ad455dad	GET	undefined	/subdir/testfds
20251202	10:21:38	e29a73d6-1a86-4e21-9082-3748308ce280	GET	undefined	/subdir/css/style.css
20251202	10:21:38	501011b7-8bb7-4feb-a34d-6798cbce661f	GET	undefined	/favicon.ico
20251202	10:21:42	a337a445-a2fb-4c13-bed7-facaf340238e	GET	undefined	/subdir
20251202	10:21:42	4d68ddd3-8bd3-48c7-916d-a6cd1b0b52ba	GET	undefined	/favicon.ico
20251202	10:21:46	3ab1b95e-419c-449a-9c0c-82fe9085f1ef	GET	undefined	/subdir/test
20251202	10:21:46	f6a87d2a-91ca-4176-836a-3aa02db110d3	GET	undefined	/favicon.ico
20251202	10:21:51	f51f9ce4-c136-4075-9895-826f86939797	GET	undefined	/subdir/test/t
20251202	10:21:52	6206ef9f-4471-4106-9ae8-07a62f3d13cf	GET	undefined	/subdir/test/css/style.css
20251202	10:21:52	31db5eac-14c7-43ab-bb78-6d9b77e9b210	GET	undefined	/favicon.ico
20251202	10:22:04	9419c467-5201-46c3-b40c-00ff21886807	GET	undefined	/subdir/test/t
20251202	10:22:04	09047d5d-919b-4aab-b4ba-e8a9eccce8bd	GET	undefined	/subdir/test/css/style.css
20251202	10:22:04	5140a979-134a-49d7-bd51-c7e566cfae84	GET	undefined	/favicon.ico
20251202	10:23:41	d6327029-4a68-45b9-a263-810fb6627b4d	GET	undefined	/subdir/test/t
20251202	10:23:41	355592a9-45ed-4a76-a832-9e369145ce5f	GET	undefined	/subdir/test/css/style.css
20251202	10:23:41	54f54aea-e2a8-4fad-8398-f4952c3234c9	GET	undefined	/favicon.ico
20251202	10:23:47	9b896ae1-e416-49b9-b3be-80855a1acb17	GET	undefined	/subdir/testt
20251202	10:23:48	298f7107-2d77-46b2-9fa1-73ac24536bc7	GET	undefined	/subdir/css/style.css
20251202	10:23:48	1253477d-061c-470c-b3f5-e909c3fed897	GET	undefined	/favicon.ico
20251202	10:26:13	eb1aa9d7-ddab-4a4d-8510-d37cc9529db9	GET	undefined	/subdir/test
20251202	18:28:20	74ec2bc1-d218-44d2-a9da-c4ff86c8d867	GET	undefined	/
20251202	18:28:20	27dac238-5670-4b69-9d44-2eea49201cc6	GET	undefined	/css/style.css
20251202	18:28:25	8e68c931-aafb-46db-99d4-07f4a0600269	GET	undefined	/new-page
20251202	18:28:25	01115bd7-70c5-427d-adaf-58b889d5bf6a	GET	undefined	/css/style.css
20251202	18:28:25	6faa0c6a-5717-4218-8bc4-a23d52a2340f	GET	undefined	/img/img1.jpg
20251202	18:30:53	35ca9b49-579f-4e9b-ba7c-a152f14fd316	GET	undefined	/
20251202	18:30:53	bcb12442-380e-48c3-9bd8-3b3f8c6a9071	GET	undefined	/css/style.css
20251202	19:00:44	0164f751-0473-4a31-aa79-b7b3f622a6fd	GET	undefined	/employees
20251202	19:01:08	24ecd8fb-898a-413e-a0f2-08aad198557f	GET	undefined	/employees
20251202	19:01:08	d28a8851-e774-4632-9f55-044c3b282406	GET	undefined	/employees/
20251202	19:01:15	d8074053-80d6-4604-b4d3-cf14b226f4e5	GET	undefined	/employees/
20251202	19:01:32	7bab2720-35d1-4b12-a620-6b675f33f60a	GET	undefined	/employees/
20251202	19:12:06	1f93560c-3e0a-471e-b8fe-b63634b092a0	GET	undefined	/employees/
20251202	19:12:13	4e605c29-3799-4a76-9bc9-4f4ae05aa65f	GET	undefined	/employees/1
20251202	19:12:38	7286c952-2b6a-41ac-9be0-39c976db41dd	DELETE	undefined	/employees
20251202	19:12:46	fadeeff1-403f-4543-a558-7c50aacf16c3	DELETE	undefined	/employees/
20251202	19:12:51	8348df7d-7eb2-4edd-a49a-af70f8be34f7	DELETE	undefined	/employees/2
20251202	19:14:29	1cf0ea93-de10-4989-8168-776ce3bad6d7	POST	undefined	/employees/
20251202	19:52:10	17b943e1-bd36-4641-b700-f4f73d0ebfeb	POST	undefined	/employees/
20251202	20:21:07	879f70bd-5bb3-4272-8674-0d21e6628936	PUT	undefined	/employees/
20251202	20:22:56	c8fcc6c2-0532-480d-832c-0a5719547e83	PUT	undefined	/employees/
20251202	20:26:55	50464ce4-15a4-4a9a-aa0b-1a2b846c2e65	PUT	undefined	/employees/
20251202	20:27:11	2ea61d4b-3db6-4c87-93f8-bfd2ebc5af47	PUT	undefined	/employees/
20251202	20:27:49	b37e3ded-081b-4db6-9dbc-729ca9e9921f	PUT	undefined	/employees/
20251202	20:28:08	8778bbfc-1dc7-4236-9e19-f5fca41fa402	PUT	undefined	/employees/
20251202	20:31:14	e7b0a5f0-866e-4848-a6a0-d7a72875cac3	PUT	undefined	/employees/
20251202	20:57:54	0ddd1c39-1da5-4b1c-8dda-c769405930c2	PUT	undefined	/employees/
20251205	21:38:18	9ffaa36a-e290-4538-9de4-f2a1e4611e0a	GET	undefined	/
20251205	21:38:18	3fb03546-4b63-4687-9d2b-c94ca76607c7	GET	undefined	/css/style.css
20251205	21:38:18	dced836b-1190-4844-9942-7c47e5255905	GET	undefined	/favicon.ico
20251205	21:38:33	abab8991-0cf4-4558-a892-aa5f59921f78	GET	undefined	/
20251205	21:38:33	d7d52da8-b740-4842-a6c9-92e3b83eb043	GET	undefined	/css/style.css
20251205	21:38:52	323450af-2798-42ef-aa0e-efe297b3ca4b	GET	undefined	/
20251205	21:38:52	ffb784f6-bff7-4fe6-85e1-4de89be2dc28	GET	undefined	/css/style.css
20251205	21:39:11	94026114-fe0b-4f60-a123-04b5acdea2eb	GET	undefined	/
20251205	21:39:12	a4f840bb-78d2-4d52-9cbe-364610693d3b	GET	undefined	/css/style.css
20251205	21:39:14	0e516397-9dfd-42dc-8092-3142db14d80a	GET	undefined	/
20251205	21:39:14	160a093d-3eb2-4acd-9e54-34cb734506fc	GET	undefined	/css/style.css
20251205	21:39:18	fbdbc23c-8e2d-4553-aea2-823a29233a34	GET	undefined	/
20251205	21:39:18	b00602b2-f92a-47ab-b752-041b915ec216	GET	undefined	/css/style.css
20251205	21:41:45	734ce6b5-966d-49bf-a918-21b35ce3108d	GET	undefined	/
20251205	21:41:46	42757b7f-21d0-4f37-a610-2a0f055a1604	GET	undefined	/css/style.css
20251205	21:42:02	1001a4cf-b4d7-4456-bb42-8d8f477bbdd9	GET	undefined	/new-page
20251205	21:42:02	959a6662-bd46-490a-9658-f4e4a5196bb7	GET	undefined	/css/style.css
20251205	21:42:02	c490a757-fb29-48b9-986e-f2bf59a83d37	GET	undefined	/img/img1.jpg
20251205	21:42:09	2f2f4173-2f3a-4097-93d6-f55c4e478044	GET	undefined	/old-page
20251205	21:42:09	d79a56e8-9871-47de-a267-877c6f6f1047	GET	undefined	/new-page.html
20251205	21:42:09	59588d98-2782-4b24-9fd7-996c74ee48d6	GET	undefined	/css/style.css
20251205	21:42:09	11c2f1f0-fac4-4cf9-a2cb-7a886f888967	GET	undefined	/img/img1.jpg
20251205	21:54:42	692788a8-939b-4795-ba69-2d26fd5ec5ee	GET	undefined	/subdir/index
20251205	21:54:42	ea4fb890-f7e4-49f6-ae52-632e4675e5e7	GET	undefined	/subdir/css/style.css
20251205	21:54:53	888e51e7-2243-4191-97d9-86a0e411b2ef	GET	undefined	/subdir/index
20251205	21:54:53	66eac84c-e2bb-421e-b4f9-d2202711cca3	GET	undefined	/subdir/css/style.css
20251205	22:01:26	b75d5a5c-8cea-4eed-a683-d3f1ed6488ea	GET	undefined	/subdir/index
20251205	22:01:26	0909d008-fd4b-4f93-911b-353667358c49	GET	undefined	/subdir/css/style.css
20251205	22:02:35	a38acc60-cbdb-4eff-a837-a29b84286c27	GET	undefined	/
20251205	22:02:36	8ebd8bb9-06fd-4d45-bd43-cbc47cfccdb5	GET	undefined	/css/style.css
20251205	22:02:40	bb5d1131-4a6b-4f0f-a433-b8ed1e033fd0	GET	undefined	/subdir/
20251205	22:02:43	04b2952c-01d3-4699-8b47-76433ab84965	GET	undefined	/subdir/index
20251205	22:02:43	2ffd8771-e584-430e-b90a-4ccfaa73d778	GET	undefined	/subdir/css/style.css
20251205	22:02:59	15b5ab97-0d3a-487a-94c5-0aaea55febbd	GET	undefined	/subdir/index
20251205	22:02:59	2d1b4465-c5b5-4c12-9760-99d8bcdb4881	GET	undefined	/subdir/css/style.css
20251205	22:02:59	4894b49b-4c8d-4213-9fbe-af33b0860747	GET	undefined	/favicon.ico
20251205	22:03:02	97584342-1b12-40cc-8ea4-3e8973ab21a2	GET	undefined	/subdir/index
20251205	22:03:02	3a3e317d-8e1f-4938-9fa4-182a139cb918	GET	undefined	/subdir/css/style.css
20251205	22:03:02	97e38d42-b9e8-4779-b020-0faf6aa46770	GET	undefined	/favicon.ico
20251205	22:03:35	441f3e7e-5d69-4906-ace3-641bd3ba4f83	GET	undefined	/subdir/index
20251205	22:03:35	238384f8-b438-4223-a15e-b1305a1b53fb	GET	undefined	/subdir/css/style.css
20251205	22:04:24	54e0d5a8-d729-43e3-9ce9-42c544b3832b	GET	undefined	/views/index
20251205	22:04:24	9e2dcd44-ebf6-476b-831e-ef970248703b	GET	undefined	/views/css/style.css
20251205	22:07:18	bba31ee8-ff47-4c1d-8bab-98f669e0f44d	GET	undefined	/views/index
20251205	22:07:18	dc83aa2a-85ee-4e30-9380-810c2bc400f8	GET	undefined	/views/css/style.css
20251205	22:07:20	40790e2d-caed-4605-a94e-dfbf154f2d23	GET	undefined	/views/index
20251205	22:07:20	ea71290c-59c1-4319-b622-269854f230e1	GET	undefined	/views/css/style.css
20251205	22:07:29	afad670f-b93e-4dfa-9b92-1c502baaabc4	GET	undefined	/views/index
20251205	22:07:29	917379c3-7d16-4b9e-9da1-8c71e1c4039d	GET	undefined	/views/css/style.css
20251205	22:07:29	987bb2f5-a57a-4980-91a3-392d64a8590f	GET	undefined	/favicon.ico
20251206	00:05:36	219a23c1-d519-41d0-9aa9-36a83424acf3	PUT	undefined	/employees
20251206	00:05:55	b4ba3ebb-6169-4f28-abc1-989423e6f24f	GET	undefined	/employees
20251206	00:07:26	444c51ad-48c2-46c7-91df-6df92bb199f1	POST	undefined	/employees
20251206	00:07:44	37c20ab0-68c9-4c7f-944e-82ca9b5cd0eb	POST	undefined	/employees
20251206	00:07:51	3e9c554b-5689-45f1-b05a-a761a85fe1f5	POST	undefined	/employees
20251206	00:08:26	58964bda-98ef-4103-8916-883f579e8a23	PUT	undefined	/employees
20251206	00:10:21	7c89a2f4-8d9f-4111-9d12-9fcabf5522e2	PUT	undefined	/employees
20251206	00:10:31	3afd8a81-b22d-4269-bd9a-19061bfb0c69	PUT	undefined	/employees
20251206	00:11:47	9a634a7c-4cb6-4215-9f27-e4ffc23c3b6a	PUT	undefined	/employees
20251206	00:11:53	79f4a6f1-14ff-4180-803e-e0a91a054204	PUT	undefined	/employees
20251206	00:12:00	c152e098-707f-476a-85fb-0f9c29ccebdf	PUT	undefined	/employees
20251206	22:26:05	07c74fa0-8db1-40ba-89eb-858174073552	POST	undefined	/register
20251206	22:26:46	c5f99de9-b0ca-4a2f-814e-f224fc4e2581	POST	undefined	/register
20251206	22:27:17	f5e76327-0f92-4936-a63f-811e840c2ff9	POST	undefined	/register
20251206	22:29:19	473f03ac-85fe-44fa-9b66-6363c934b5c0	POST	undefined	/register
20251206	22:30:47	1756b018-5762-4a92-85e6-32a90e21f01c	POST	undefined	/register
20251206	22:34:46	7edf24eb-822b-4bb5-9912-5f5a34e280c9	POST	undefined	/register
20251206	22:38:51	905db668-b8f2-4337-b4bb-13b0bed7724c	POST	undefined	/register
20251206	22:56:27	28872b64-575a-4270-8780-9e24455299fe	POST	undefined	/auth
20251206	22:57:29	a0c99010-45b8-4036-b5f7-1fc4288b98c8	POST	undefined	/auth
